"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"province autonome trento bolzano","49","183","600","608","923","938","959","960","961","984","1012","1126",,,,,,,,,,,,,,,,,,,,,,,,
"politiche agricole alimentari forestali","177","178","201","202","207","208","212","215","216","217","707","905","1035",,,,,,,,,,,,,,,,,,,,,,,
"supplemento ordinario gazzetta ufficiale","74","511","574","581","607","945","995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"conferenza stato autonomie locali","609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministero affari esteri cooperazione_internazionale","758","1089","1091","1148","1150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"contratto lavoro tempo indeterminato","20","53","107","261","1018","1035","1043","1045","1047","1065","1074","1077",,,,,,,,,,,,,,,,,,,,,,,,
"data entrata vigore presente","40","178","299","300","335","336","343","394","397","398","417","447","473","508","537","541","542","548","565","689","715","716","745","765","766","819","905","925","928","973","996","1015","1063","1069","1136","1150"
"ministro lavoro politiche sociali","194","287","366","379","380","395","408","418","421","444","458","460","465","503","856","952","954",,,,,,,,,,,,,,,,,,,
